route_id,service_id,trip_id,trip_headsign,direction_id,block_id,wheelchair_accessible,bikes_allowed
05,T24_JA-2-31,34650,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34651,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34652,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34653,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34654,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34655,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34656,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34657,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34658,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34659,Théâtre des Arts ROUEN,1,,,
90,TXM_J2-2-31,3466,Georges Braque GRAND QUEVILLY,0,,,
05,T24_JA-2-31,34660,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34661,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34662,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34663,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34664,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34665,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34666,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34667,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34668,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34669,Théâtre des Arts ROUEN,1,,,
90,TXM_J2-2-31,3467,Georges Braque GRAND QUEVILLY,0,,,
05,T24_JA-2-31,34670,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34671,Théâtre des Arts ROUEN,1,,,
05,T24_JA-2-31,34672,Théâtre des Arts ROUEN,1,,,
05,IST_R2-2-4,34673,Théâtre des Arts ROUEN,1,,,
05,ETE_BL-2-31,34674,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34675,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34676,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34677,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34678,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34679,Boulingrin ROUEN,1,,,
90,TXM_J2-2-31,3468,Georges Braque GRAND QUEVILLY,0,,,
05,ETE_BL-2-31,34680,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34681,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34682,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34683,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34684,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34685,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34686,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34687,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34688,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34689,Boulingrin ROUEN,1,,,
90,TXM_J2-2-31,3469,Georges Braque GRAND QUEVILLY,0,,,
05,ETE_BL-2-31,34690,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34691,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34692,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34693,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34694,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34695,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34696,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34697,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34698,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34699,Boulingrin ROUEN,1,,,
92,T24_BL-2-31,347,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
90,TXM_J2-2-31,3470,Georges Braque GRAND QUEVILLY,0,,,
05,ETE_BL-2-31,34700,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34701,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34702,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34703,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34704,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34705,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34706,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34707,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34708,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34709,Boulingrin ROUEN,1,,,
90,TXM_J2-2-31,3471,Georges Braque GRAND QUEVILLY,0,,,
05,ETE_BL-2-31,34710,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34711,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34712,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34713,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34714,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34715,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34716,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34717,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34718,Boulingrin ROUEN,1,,,
05,ETE_BL-2-31,34719,Boulingrin ROUEN,1,,,
